iata,name,lat,lon,country,continent,region
FAI,Fairbanks International Airport,64.8151,-147.856,US,NA,OTHER
FAO,Faro - Gago Coutinho International Airport,37.0159,-7.9709,PT,EU,EU
FAR,Hector International Airport,46.9207,-96.8158,US,NA,OTHER
FAT,Fresno Yosemite International Airport,36.7758,-119.718,US,NA,OTHER
FAV,Fakarava Airport,-16.0541,-145.657,PF,OC,EU
FAY,Fayetteville Regional Airport - Grannis Field,34.9912,-78.8803,US,NA,OTHER
FAZ,Fasa Airport,28.8918,53.7233,IR,AS,OTHER
FBG,Simmons Army Air Field,35.1318,-78.9367,US,NA,OTHER
FBK,Ladd Army Airfield,64.8375,-147.614,US,NA,OTHER
FBM,Lubumbashi International Airport,-11.5915,27.5308,CD,AF,OTHER
FCA,Glacier Park International Airport,48.3105,-114.256,US,NA,OTHER
FCB,Ficksburg Sentraoes Airport,-28.8231,27.9089,ZA,AF,OTHER
FCN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,53.7677,8.6592,DE,EU,EU
FCO,Rome–Fiumicino Leonardo da Vinci International Airport,41.8045,12.252,IT,EU,EU
FCS,Butts AAF (Fort Carson) Air Field,38.6784,-104.757,US,NA,OTHER
FDF,Martinique Aimé Césaire International Airport,14.591,-61.0032,MQ,NA,EU
FDH,Bodensee Airport Friedrichshafen,47.6713,9.5115,DE,EU,EU
FDU,Bandundu Airport,-3.3113,17.3817,CD,AF,OTHER
FDY,Findlay Airport,41.0135,-83.6687,US,NA,OTHER
FEC,João Durval Carneiro Airport,-12.2007,-38.9062,BR,SA,OTHER
FEG,Fergana International Airport,40.3588,71.745,UZ,AS,OTHER
FEN,Fernando de Noronha Airport,-3.8545,-32.423,BR,SA,OTHER
FEZ,Fes Saïss International Airport,33.9273,-4.978,MA,AF,OTHER
FFD,RAF Fairford,51.6836,-1.7892,GB,EU,EU
FFO,Wright-Patterson Air Force Base,39.8261,-84.0483,US,NA,OTHER
FGU,Fangatau Airport,-15.82,-140.8881,PF,OC,EU
FHU,Sierra Vista Municipal Airport / Libby Army Air Field,31.5874,-110.3482,US,NA,OTHER
FIH,Ndjili International Airport,-4.3857,15.4446,CD,AF,OTHER
FIZ,Fitzroy Crossing Airport,-18.1836,125.5598,AU,OC,OTHER
FJR,Fujairah International Airport,25.1084,56.3281,AE,AS,OTHER
FKB,Karlsruhe Baden-Baden Airport,48.7794,8.0805,DE,EU,EU
FKI,Bangoka International Airport,0.4816,25.338,CD,AF,OTHER
FKJ,Fukui Airport,36.1428,136.224,JP,AS,OTHER
FKL,Venango Regional Airport,41.3779,-79.8604,US,NA,OTHER
FKQ,Fakfak Airport,-2.9205,132.267,ID,AS,OTHER
FKS,Fukushima Airport,37.2274,140.431,JP,AS,OTHER
FLA,Gustavo Artunduaga Paredes Airport,1.5892,-75.5644,CO,SA,OTHER
FLG,Flagstaff Pulliam Airport,35.1398,-111.6698,US,NA,OTHER
FLL,Fort Lauderdale Hollywood International Airport,26.0726,-80.1527,US,NA,OTHER
FLN,Hercílio Luz International Airport,-27.6703,-48.5525,BR,SA,OTHER
FLO,Florence Regional Airport,34.1854,-79.7239,US,NA,OTHER
FLR,"Florence Airport, Peretola",43.8086,11.2028,IT,EU,EU
FLW,Flores Airport,39.4553,-31.1314,PT,EU,EU
FLZ,Dr. Ferdinand Lumban Tobing Airport,1.5571,98.8871,ID,AS,OTHER
FMA,Formosa National Airport,-26.2127,-58.2281,AR,SA,OTHER
FME,Fort Meade Executive Airport,39.0854,-76.7594,US,NA,OTHER
FMI,Kalemie Airport,-5.8756,29.25,CD,AF,OTHER
FMM,Memmingen Allgau Airport,47.9881,10.2382,DE,EU,EU
FMN,Four Corners Regional Airport,36.7412,-108.23,US,NA,OTHER
FMO,Münster Osnabrück Airport,52.1338,7.6885,DE,EU,EU
FMY,Page Field,26.5866,-81.8633,US,NA,OTHER
FNA,Lungi International Airport,8.6164,-13.1955,SL,AF,OTHER
FNB,Neubrandenburg Trollenhagen Airport,53.6022,13.306,DE,EU,EU
FNC,Cristiano Ronaldo International Airport,32.6978,-16.7746,PT,EU,EU
FNI,Nîmes-Arles-Camargue Airport,43.7574,4.4164,FR,EU,EU
FNJ,Pyongyang Sunan International Airport,39.2241,125.67,KP,AS,OTHER
FNL,Northern Colorado Regional Airport,40.4497,-105.0113,US,NA,OTHER
FNT,Bishop International Airport,42.9693,-83.7434,US,NA,OTHER
FOC,Fuzhou Changle International Airport,25.9293,119.6725,CN,AS,OTHER
FOD,Fort Dodge Regional Airport,42.5526,-94.1912,US,NA,OTHER
FOE,Topeka Regional Airport,38.9509,-95.6636,US,NA,OTHER
FOG,Foggia Gino Lisa Airport,41.4336,15.5346,IT,EU,EU
FOM,Foumban Nkounja Airport,5.6369,10.7508,CM,AF,OTHER
FON,La Fortuna Arenal Airport,10.4693,-84.5791,CR,NA,OTHER
FOR,Pinto Martins International Airport,-3.7758,-38.5322,BR,SA,OTHER
FOS,Forrest Airport,-30.8366,128.1128,AU,OC,OTHER
FPO,Grand Bahama International Airport,26.558,-78.6956,BS,NA,OTHER
FPR,Treasure Coast International Airport,27.4951,-80.3683,US,NA,OTHER
FRA,Frankfurt Main Airport,50.0267,8.5584,DE,EU,EU
FRB,Forbes Airport,-33.3636,147.935,AU,OC,OTHER
FRD,Friday Harbor Airport,48.5237,-123.0246,US,NA,OTHER
FRG,Republic Airport,40.7286,-73.4143,US,NA,OTHER
FRI,Marshall Army Air Field,39.053,-96.7642,US,NA,OTHER
FRL,Forlì-Luigi Ridolfi International Airport,44.1948,12.0701,IT,EU,EU
FRO,Florø Airport,61.5836,5.0247,NO,EU,EU
FRS,Mundo Maya International Airport,16.9137,-89.8661,GT,NA,OTHER
